Date,Speaker,Statement,Member
2005-02-02,MR. GREENSPAN,"Today is our regular annual organizational meeting and, as is customary, I will turn the floor over to Governor Ferguson.",M
2005-02-02,MR. FERGUSON,"Thank you very much, Mr. Chairman. At the first regularly scheduled Committee meeting of every year, our first obligation is to elect a Chairman and a Vice Chairman to serve until the election of their successors at the first regularly scheduled meeting of the next year. So let me now open the floor for nominations from among our members for Chairman and Vice Chairman.",M
2005-02-02,MR. GRAMLICH,I nominate Alan Greenspan to be Chairman.,M
2005-02-02,MR. FERGUSON,And do you have a nomination for Vice Chairman?,M
2005-02-02,MR. GRAMLICH,I nominate Timothy Geithner as Vice Chairman.,M
2005-02-02,MR. FERGUSON,Is there a second to those nominations?,M
2005-02-02,SEVERAL,Second.,joint
2005-02-02,MR. FERGUSON,"Any other nominations? Any objections? Any comments? Well, we’re not in an era of great democracy.  Let the record show a unanimous vote for Messrs. Greenspan and Geithner to be Chairman and Vice Chairman of the FOMC until its first regularly scheduled meeting of 2006. Congratulations.",M
2005-02-02,MR. GREENSPAN,Thank you very much. I wish to note that there was no voter fraud that I could perceive.,M
2005-02-02,MR. FERGUSON,And we have a turnout of 100 percent!,M
2005-02-02,MR. GREENSPAN,"The next item on the agenda is the selection of staff officers. Would you kindly read the list for us, please?",M
2005-02-02,MS. DANKER,"Yes. For Secretary and Economist, Vincent Reinhart; Deputy Secretary, Deborah Danker; Assistant Secretary, Michelle Smith; General Counsel, Scott Alvarez; Deputy General Counsel, Thomas Baxter; Economists, Karen Johnson and David Stockton; Associate Economists, Thomas Connors, David Howard, Brian Madigan, Steven Oliner, David Wilcox, Charles Evans, Loretta Mester, Arthur Rolnick, Harvey Rosenblum, and Joseph Tracy.",staff
2005-02-02,MR. GREENSPAN,I’ll entertain a motion for the proposed slate.,M
2005-02-02,SEVERAL,So moved.,joint
2005-02-02,MR. GREENSPAN,"Without objection, that is approved. The next item on the agenda is the selection of a Federal Reserve Bank to execute transactions for the System Open Market Account. My notes indicate to me, and I quote, “New York is the odds-on favorite.”  In that event, not wishing to go against the odds, I will entertain any motion which is restricted to nominating the Federal Reserve Bank of New York!",M
2005-02-02,MR. FERGUSON,"Well, consistent with the odds and tradition, I will nominate the Federal Reserve Bank of New York.",M
2005-02-02,MR. GREENSPAN,"The nomination is approved without objection. Since we have done that, let’s move to a decision that may be far more important, which is to select the Manager of the System Open Market Account. I understand that there’s only one name on this ballot, and it’s Dino Kos. Unless anyone has an objection, I will presume that there was a nomination, a second, and a unanimous vote in the affirmative. Hearing no objection to that, I presume that that selection is now approved. Now I’d like to call on Dino in his renewed official position.",M
2005-02-02,MR. KOS,"Thank you, Mr. Chairman. I have two subjects on which I’ll need a vote from the Committee. The first one is on the Foreign Currency Directive, the Authorization for Foreign Currency Operations, and the Procedural Instructions with Respect to Foreign Currency Operations. I recommend that they be approved with no amendments.",staff
2005-02-02,MR. GREENSPAN,"Questions? Objections? If not, they are approved.",M
2005-02-02,MR. KOS,"The second item is the Authorization for Domestic Open Market Operations, which I propose be approved with one amendment as described in the memo dated January 24, 2005. That amendment would eliminate the so-called leeway provisions—the limit on the amount by which holdings of securities in the System Open Market Account can change between meetings—given that the Committee has many other ways to oversee the activities of SOMA .",staff
2005-02-02,MR. GREENSPAN,"Any questions? Approved without objection. We have received documents on proposed revisions to the Committee’s rules, statements, and resolutions, and I presume you have read them. I need a vote to approve the proposed revisions, but, obviously, if there are comments, we will discuss them prior to that. Hearing none, they are approved without objection. Incidentally, because of the timing, we need to determine officially as a Committee that public notice and comment on these amendments would be unnecessary or contrary to the public interest. I would accept a motion to that effect.",M
2005-02-02,SPEAKER,So moved.,joint
2005-02-02,MR. GREENSPAN,"Approved without objection. We have an annual review of the Committee’s Program for the Security of FOMC Information. I’d like to emphasize a point covered on page 1, which is that individuals who have access to confidential information may provide it to or discuss it only with those Federal Reserve employees who are authorized to have access to such information. I raise these issues every year. We all vote upon these rules and agree to bind ourselves to them, and invariably we slip periodically. I trust that at some point we’ll do better than we have done, especially fairly recently. I understand that President Moskow would like to say a few words on this.",M
2005-02-02,MR. MOSKOW,"Mr. Chairman, I think the leak of the topic for today’s discussion, which was the subject of an article that appeared in The Wall Street Journal, was very disappointing and troubling. I’ve been with the Federal Reserve for10 years, and we pride ourselves on being an organization with very high integrity. When we have a leak like that, I think it’s really an embarrassment to the Federal Reserve and to each of us individually. Leaks such as this have happened on rare occasions in the period that I’ve been here. But I think it is important that we emphasize every year, in line with the integrity of this organization, how crucial it is to maintain the confidentiality of what we discuss.",M
2005-02-02,MR. GREENSPAN,"I’m at a loss to understand the motives of communicating obviously confidential information that could compromise the nature of our deliberations here. What is to be gained? I don’t get it. All I can do is to reiterate, as we vote on this, that we take it very seriously. I will assume everyone is in the affirmative on this. We will now move on to a rather large topic, price objectives for monetary policy. I’d like to call on David Wilcox, Doug Elmendorf, and Vincent Reinhart to make their presentations.",M
