mot_cible,contexte_complet,fichier,speaker,chamber,party,year,date
federal_reserve,crisis proportions chairman alan greenspan federal reserve said single important long term,R000460.json,Mr. ROTH,Senate,R,1995,1995-01-04
federal_reserve,indulgence page s27 mr president federal reserve reacts anticipated pushes interest rates,F000061.json,Mr. FEINGOLD,Senate,D,1995,1995-01-04
federal_reserve,appropriate federal banking agency likely federal reserve board compliance applicable federal banking,D000492.json,Mr. DREIER,House,R,1995,1995-01-04
federal_reserve,banking proper incident thereto described federal reserve board regulation y 12 cfr,D000492.json,Mr. DREIER,House,R,1995,1995-01-04
federal_reserve,california mountain stands way mountain federal reserve board s ruling regulation e,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,1 1994 efta filed comments federal reserve board governors response proposed revisions,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,possibly considering pursuing legal action federal reserve board regulating matter purview efta,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,funds transfer act eft act federal reserve board declared intention apply reg,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,funds transfer act ebt programs federal reserve decision essentially changed federal social,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,progress wider use ebt slowed federal reserve board s decision march apply,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,stamp recipients appears major concern federal reserve board governor s driving force,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,support general assistance wic ssi federal reserve board s decision effectively impede,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,reality people serve unfortunately know federal reserve board decided march 7 1994,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,programs opposes decisions board governors federal reserve march 1994 apply liability provisions,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,exempted regulation e 1987 new federal reserve board ruling march 1997 regulation,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,benefits system ebs halted know federal reserve board recently ruled welfare programs,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,bill addresses following problems created federal reserve board decision inequitable treatment clients,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,electronic funds transfer act specifically federal reserve s regulation e california assume,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,opposing application regulation e ebt federal reserve mistake congress need act ensure,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,implementation passage legislation goal reached federal reserve considering issue 40 governors wrote,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,rights individual beneficiaries omb joins federal reserve board commitment protect rights individuals,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,appeal cost beneficiary omb recommendations federal reserve board requested comment modifications regulation,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,w wiles secretary board governors federal reserve system washington dc dear mr,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,deputy director omb board governors federal reserve ask unanimous consent dr rivlin,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,year greatest concern faulty premise federal reserve board assumption applying efta ebt,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,states liability unknown magnitude action federal reserve inconsistent legislative intent created benefit,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,stolen ebt card replaced effect federal reserve s action simple act changing,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,fee charged recipient transactions action federal reserve stop benefits happening state local,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,simple extension regulation ebt cards federal reserve dramatically altered social benefits legislation,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,legislation necessary reverse regulation issued federal reserve board ruling issued march said,L000304.json,Mr. LIEBERMAN,Senate,D,1995,1995-01-04
federal_reserve,economy overtaking japan time 1985 federal reserve chairman alan greenspan said earlier,H000114.json,Mr. HAMILTON,House,D,1995,1995-01-04
federal_reserve,3 percent 1981 1993 chairman federal reserve alan greenspan said single important,R000460.json,Mr. ROTH,Senate,R,1995,1995-01-04
federal_reserve,collapse included secretary treasury chairman federal reserve board governors chairman securities exchange,L000504.json,Mr. LUGAR,Senate,R,1995,1995-01-09
federal_reserve,s treasury department federal reserve federal reserve largest board room meeting table,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,challenge u s treasury department federal reserve federal reserve largest board room,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,lawrence k roos retired president federal reserve board st louis edwin s,B001210.json,Mr. BYRD,Senate,D,1995,1995-01-11
federal_reserve,people adjustable rate mortgages point federal reserve board meets decides going mandate,D000432.json,Mr. DORGAN,Senate,D,1995,1995-01-11
federal_reserve,bashing going offer amendment says federal reserve board meets secret decide want,D000432.json,Mr. DORGAN,Senate,D,1995,1995-01-11
federal_reserve,offer amendment federal reserve board federal reserve board imposes ultimate mandate fact,D000432.json,Mr. DORGAN,Senate,D,1995,1995-01-11
federal_reserve,makes sense going offer amendment federal reserve board federal reserve board imposes,D000432.json,Mr. DORGAN,Senate,D,1995,1995-01-11
federal_reserve,said thought issues awesome talk federal reserve board talk secret transfers billions,K000270.json,Mr. KLINK,House,D,1995,1995-01-11
federal_reserve,balancing congress ought additional restraints federal reserve u s treasury department sets,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,trouble receive special treatment doors federal reserve doors u s treasury voted,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,hostage u s treasury department federal reserve private sector gets trouble receive,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,worry moment past year think federal reserve raised interest rates american people,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,banks payments federal reserve creates federal reserve connected system additional funds coming,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,course deposits people banks payments federal reserve creates federal reserve connected system,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,minimum 9 billion loans mexico federal reserve additional 5 billion plus don,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,know people connected wall street federal reserve supposed understand today going try,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,words paying mortgage payment month federal reserve sit table paying mortgage payment,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,draw 9 billion want outrageous federal reserve board controls deposits currency country,D000191.json,Mr. DEFAZIO,House,D,1995,1995-01-11
federal_reserve,believe tax cut believe chairman federal reserve board told senate yesterday simply,M000725.json,Mr. MILLER,House,D,1995,1995-01-11
federal_reserve,rates lower lose 1 month federal reserve raises interest rates home mortgage,M000725.json,Mr. MILLER,House,D,1995,1995-01-11
federal_reserve,secret conditions secret staff contacted federal reserve told s business don t,D000191.json,Mr. DEFAZIO,House,D,1995,1995-01-11
federal_reserve,banks bank holding companies regulated federal reserve u s treasury depending particular,T000350.json,Mr. TRAFICANT,House,D,1995,1995-01-11
federal_reserve,entities hold voting rights district federal reserve offices regions country sure like,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,intention treasury department enlarge assistance federal reserve concerned commercial banks involved lines,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,momentum nation time economists chairmen federal reserve saying careful wrong don t,M000725.json,Mr. MILLER,House,D,1995,1995-01-11
federal_reserve,aware sure count 5 billion federal reserve putting amazing quickly quickly government,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,gentleman yield think federal reserve hiking interest rates country taking,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,united states policy snap finger federal reserve spend billions dollars federal disclosure,D000191.json,Mr. DEFAZIO,House,D,1995,1995-01-11
federal_reserve,want far afoot federal reserve think interesting people watching know,D000191.json,Mr. DEFAZIO,House,D,1995,1995-01-11
federal_reserve,interest public disclosure freedom information federal reserve board extraordinary powers excuse m,D000191.json,Mr. DEFAZIO,House,D,1995,1995-01-11
federal_reserve,prospects repayment money shipping mexico federal reserve says s business don t,D000191.json,Mr. DEFAZIO,House,D,1995,1995-01-11
federal_reserve,access u s treasury department federal reserve amazing quickly administration responds example,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-11
federal_reserve,senate leadership house administration course federal reserve board person distinguished chairman alan,M001054.json,Mr. MOYNIHAN,Senate,D,1995,1995-01-13
federal_reserve,history democratize gambling treasury department federal reserve expense taxpayers think like citizens,K000009.json,Ms. KAPTUR,House,D,1995,1995-01-17
