speech_id,mot_cible,contexte_complet,fichier,speakerid,lastname,firstname,chamber,state,gender,party,district,nonvoting,date
970000177,federal_reserve,ec1 communication chairman board governors federal reserve system transmitting pursuant law twelfth,speeches_97.txt,97104811,BAKER,HOWARD,S,TN,M,R,,voting,1981-01-05
970000236,federal_reserve,revise illadvised interest rate policies federal reserve board impede small business expansion,speeches_97.txt,97108511,SASSER,JAMES,S,TN,M,D,,voting,1981-01-05
970000337,federal_reserve,deficits caused stagnation reduce pressure federal reserve create money end inflation social,speeches_97.txt,,,,,,,,,,1981-01-05
970000543,federal_reserve,presently american enterprise institute chairman federal reserve board afternoon hear larry kudlow,speeches_97.txt,97113601,DOMENICI,PETE,S,NM,M,R,,voting,1981-01-06
970000749,federal_reserve,institute public policy research chairman federal reserve board testify 10 m afternoon,speeches_97.txt,97113601,DOMENICI,PETE,S,NM,M,R,,voting,1981-01-15
970000830,federal_reserve,case moody american administration congress federal reserve board inflation banker knows ir,speeches_97.txt,,,,,,,,,,1981-01-16
970000830,federal_reserve,goods services prices likely rise federal reserve permitted happen nagging question remains,speeches_97.txt,,,,,,,,,,1981-01-16
970000830,federal_reserve,increased hasenough fuel rising inflation federal reserve weak supine derelict duty manage,speeches_97.txt,,,,,,,,,,1981-01-16
970000830,federal_reserve,inflationary increase money supply contend federal reserve like dutch boy finger dike,speeches_97.txt,,,,,,,,,,1981-01-16
970000961,federal_reserve,shelters reduced interest rates pressure federal reserve create money progrowth antiinflationary step,speeches_97.txt,97104561,SCHMITT,HARRISON,S,NM,M,R,,voting,1981-01-19
970000965,federal_reserve,henry wallich member board governors federal reserve system mr william j abernathy,speeches_97.txt,97113601,DOMENICI,PETE,S,NM,M,R,,voting,1981-01-19
970001261,federal_reserve,national prime interest rates manipulated federal reserve board policy inflation inflation high,speeches_97.txt,97106851,MELCHER,JOHN,S,MT,M,D,,voting,1981-01-20
970002071,federal_reserve,remember arthur burns bring people federal reserve board greatly admired arthur burns,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-01-22
970002184,federal_reserve,securities investors protection corp consultant federal reserve member nyc board education mr,speeches_97.txt,,,,,,,,,,1981-01-22
970002780,federal_reserve,nonbanking activities certain conditions delineated federal reserve board met independent insurance agents,speeches_97.txt,97104041,CANNON,HOWARD,S,NV,M,D,,voting,1981-01-22
970002780,federal_reserve,action 1977 result litigation subsequent federal reserve actions bank holding companies allowed,speeches_97.txt,97104041,CANNON,HOWARD,S,NV,M,D,,voting,1981-01-22
970002870,federal_reserve,expansion inflationfighting tight money policy federal reserve board presidentelect economists think steps,speeches_97.txt,,,,,,,,,,1981-01-22
970003009,federal_reserve,use credit buy stocksknown marginthat federal reserve board sets u s stock,speeches_97.txt,97110080,BROOKS,JACK,H,TX,M,D,9,voting,1981-01-27
970003487,federal_reserve,making private credit expensive spring federal reserve bank san francisco estimated federal,speeches_97.txt,97105301,PERCY,CHARLES,S,IL,M,R,,voting,1981-01-27
970003499,federal_reserve,loans obtained united states violate federal reserve boards margin rules mr president,speeches_97.txt,97105451,TOWER,JOHN,S,TX,M,R,,voting,1981-01-27
970003514,federal_reserve,resurgence inflationary expectations recent efforts federal reserve cope singlehandedly raging inflation sad,speeches_97.txt,97107101,ARMSTRONG,WILLIAM,S,CO,M,R,,voting,1981-01-27
970003514,federal_reserve,ways encourage business innovation investment federal reserve essential role play expected carry,speeches_97.txt,97107101,ARMSTRONG,WILLIAM,S,CO,M,R,,voting,1981-01-27
970003514,federal_reserve,members include secretaries treasury chairmen federal reserve board chairman council economic advisers,speeches_97.txt,97107101,ARMSTRONG,WILLIAM,S,CO,M,R,,voting,1981-01-27
