speech_id,mot_cible,contexte_complet,fichier,speakerid,lastname,firstname,chamber,state,gender,party,district,nonvoting,date
970000582,monetary_policy,policy tool linked fiscal policy monetary policy rigid fashion monetary fiscal policies,speeches_97.txt,97105730,BROWN,CLARENCE,H,OH,M,R,7,voting,1981-01-06
970000811,monetary_policy,subcommittee international trade investr ent monetary policy section 2 b 3 exportimport,speeches_97.txt,97110650,NEAL,STEPHEN,H,NC,M,D,5,voting,1981-01-16
970000830,monetary_policy,support world insufficient ensure sound monetary policy federal spending allowed perpet ually,speeches_97.txt,,,,,,,,,,1981-01-16
970001561,monetary_policy,institutions subcommittee international trade investment monetary policy november 1970 elected serve senate,speeches_97.txt,97110161,DOLE,ROBERT,S,KS,M,R,,voting,1981-01-21
970003336,monetary_policy,worsen conditions inlprove question restrictive monetary policy offers higher higher interest rates,speeches_97.txt,97106480,STOCKMAN,DAVID,H,MI,M,R,4,voting,1981-01-27
970003336,monetary_policy,holding despair businesses employees restrictive monetary policy canno solve problems external price,speeches_97.txt,97106480,STOCKMAN,DAVID,H,MI,M,R,4,voting,1981-01-27
970003336,monetary_policy,antiinflation program single weapon restrictive monetary policy let mistake read defense socalled,speeches_97.txt,97106480,STOCKMAN,DAVID,H,MI,M,R,4,voting,1981-01-27
970004260,monetary_policy,president chairman subcommittee international finance monetary policy senate banking committee pleased announce,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-01-29
970005270,monetary_policy,present circumstances desirable depend tighter monetary policy answer tighter monetary policy absent,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-05
970005270,monetary_policy,tighter monetary policy answer tighter monetary policy absent rigorous spending reduction means,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-05
970006712,monetary_policy,thatcher chosen instead course austerit3restrictive monetary policy public sector deficits timid tax,speeches_97.txt,,,,,,,,,,1981-02-06
970007217,monetary_policy,unnecessary unproductive counterproductive encouraging consistent monetary policy aimed maintaining value currency enacted,speeches_97.txt,,,,,,,,,,1981-02-18
970007217,monetary_policy,final aspect plan requires national monetary policy allow money growth increase consistently,speeches_97.txt,,,,,,,,,,1981-02-18
970007366,monetary_policy,introducing concurrent resolution relating conduct monetary policy board governors federal reserve system,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007366,monetary_policy,market committee resolution stresses importance monetary policy continuing fight inflation reflects views,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007366,monetary_policy,expressed members banking committee reports monetary policy senate reflects recommendation newly formed,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007366,monetary_policy,strides years regard understanding role monetary policy fight inflation semiannual hearings conduct,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007366,monetary_policy,fight inflation semiannual hearings conduct monetary policy began 1975 important helping understand,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007366,monetary_policy,statement committee fight inflation recommendation monetary policy states rnbility federal reserve system,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007366,monetary_policy,market place present general thrust monetary policy appropriately restrictive federal reserve remain,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007366,monetary_policy,slowdown economy rekindle inflationary expectations monetary policy expansionary ease interest rates credit,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007366,monetary_policy,appropriate facilitating economic growth course monetary policy set forth federal reserve february,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-19
970007367,monetary_policy,proposed resolution recognizes shortterm stopgap monetary policy solutions effective stretched longtermn economic,speeches_97.txt,97107771,GARN,EDWIN,S,UT,M,R,,voting,1981-02-19
970007367,monetary_policy,longterm economic goals coordination effective monetary policy,speeches_97.txt,97107771,GARN,EDWIN,S,UT,M,R,,voting,1981-02-19
970007401,monetary_policy,spending restraint regulatory reformf tighter monetary policy order consistent need fight underlying,speeches_97.txt,97113650,GEPHARDT,RICHARD,H,MO,M,D,3,voting,1981-02-19
970007556,monetary_policy,17 18 subcommittee international finance monetary policy held hearings s 144 59,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-02-20
970007746,monetary_policy,inflation tough medicine consistent stringent monetary policy start running budget surpluses instead,speeches_97.txt,97106921,PROXMIRE,WILLIAM,S,WI,M,D,,voting,1981-02-24
970008175,monetary_policy,items energy second interest rates monetary policy onehalf inflation country comes burgeoning,speeches_97.txt,97114100,DORGAN,BYRON,H,ND,M,D,0,voting,1981-02-24
970008175,monetary_policy,administrations lack commitmnent conservation let monetary policy dealt economic recovery program high,speeches_97.txt,97114100,DORGAN,BYRON,H,ND,M,D,0,voting,1981-02-24
970008231,monetary_policy,committees subcommittee international trade investment monetary policy whichi chairman hope testimony reagan,speeches_97.txt,97110650,NEAL,STEPHEN,H,NC,M,D,5,voting,1981-02-24
970008834,monetary_policy,president chairmal subcommittee international finance monetary policy senate banking committee pleased announce,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-02-26
970008895,monetary_policy,violated basic laws sound government monetary policy unfortunately laws basic arithmetics firm,speeches_97.txt,,,,,,,,,,1981-02-26
970009155,monetary_policy,company inc subcommittee international finance monetary policy addition emphasizing urgency adapting u,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-03-03
970009288,monetary_policy,policy tight money shortrun use monetary policy increase interest rates reduce investment,speeches_97.txt,97107410,MITCHELL,PARREN,H,MD,M,D,7,voting,1981-03-03
970009288,monetary_policy,survival clear consequences shortterm utilization monetary policy combat inflation fact caused economic,speeches_97.txt,97107410,MITCHELL,PARREN,H,MD,M,D,7,voting,1981-03-03
970009288,monetary_policy,small businesses fail inconsistent shortterm monetary policy economic concentration proliferated inflation exacerbated,speeches_97.txt,97107410,MITCHELL,PARREN,H,MD,M,D,7,voting,1981-03-03
970009288,monetary_policy,reduced monopolistic forces increase instruments monetary policy pronounced order effective unprecedented rates,speeches_97.txt,97107410,MITCHELL,PARREN,H,MD,M,D,7,voting,1981-03-03
970009359,monetary_policy,small businessmen heavy burden misguided monetary policy face lean years ahead strength,speeches_97.txt,97108670,ALEXANDER,WILLIAM,H,AR,M,D,1,voting,1981-03-04
970009360,monetary_policy,economic policy allies relying fiscal monetary policy fight inflation lower interest rates,speeches_97.txt,97106370,REUSS,HENRY,H,WI,M,D,5,voting,1981-03-04
970009360,monetary_policy,steps consistent prudent moderately restrained monetary policy nation needs 1981 report joint,speeches_97.txt,97106370,REUSS,HENRY,H,WI,M,D,5,voting,1981-03-04
