mot_cible,contexte_complet,fichier,speaker,chamber,party,year,date
monetary_policy,banking including deposit insurance federal monetary policy 2 bank capital markets activities,A000217.json,Mr. ARMEY,House,R,1995,1995-01-04
monetary_policy,expect deal broad national policy monetary policy broad national tax policy want,C000813.json,Mr. COVERDELL,Senate,R,1995,1995-01-12
monetary_policy,treasury going year mexico bad monetary policy gentlewoman s understanding,K000270.json,Mr. KLINK,House,D,1995,1995-01-17
monetary_policy,asleep federal reserve board conduct monetary policy country substantial impact virtually american,D000432.json,Mr. DORGAN,Senate,D,1995,1995-01-23
monetary_policy,study issues federal reserve board monetary policy soon class fast asleep federal,D000432.json,Mr. DORGAN,Senate,D,1995,1995-01-23
monetary_policy,assure senator north dakota issue monetary policy aired fully dorgan amendment tabled,M000019.json,Mr. MACK,Senate,R,1995,1995-01-23
monetary_policy,questions questions fed s operation monetary policy ve concerned long time fed,M000019.json,Mr. MACK,Senate,R,1995,1995-01-23
monetary_policy,dakota raises worthwhile points formulation monetary policy ought interest right raise questions,M000019.json,Mr. MACK,Senate,R,1995,1995-01-23
monetary_policy,strictly challenging role fed setting monetary policy making politically accountable congress costs,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,encouraging lack confidence united states monetary policy dollar amendment unwise myopic misplaced,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,pegged federal funds rate loose monetary policy set politically influenced decisionmaking process,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,values reflect international confidence conduct monetary policy simply fed s pegged federal,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,interests rates determined u s monetary policy fed decisions vacuum long term,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,amendment represents rough attempt influence monetary policy short term political purposes successful,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,testifying committee federal reserve engaging monetary policy decisionmaking amendment public accountability mr,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,stability country cries public input monetary policy decisionmaking misapprehend necessary role central,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,independent role federal reserve setting monetary policy remains critical long term stability,S000320.json,Mr. SHELBY,Senate,R,1995,1995-01-23
monetary_policy,bearing foregoing b rule relating monetary policy proposed promulgated board governors federal,R000460.json,Mr. ROTH,Senate,R,1995,1995-01-27
monetary_policy,bearing foregoing b rule relating monetary policy proposed promulgated board governors federal,R000460.json,Mr. ROTH,Senate,R,1995,1995-01-27
monetary_policy,investors away devaluation forced bad monetary policy mistakes mexico confidence loan package,C000858.json,Mr. CRAIG,Senate,R,1995,1995-01-27
monetary_policy,hopkins university researched written extensively monetary policy use currency boards number cogent,C000858.json,Mr. CRAIG,Senate,R,1995,1995-01-27
monetary_policy,wall street interesting question makes monetary policy country controls currency united states,D000191.json,Mr. DEFAZIO,House,D,1995,1995-01-31
monetary_policy,going raise interest rates tighten monetary policy raising discount rate gain raised,V000087.json,Mr. VENTO,House,D,1995,1995-02-01
monetary_policy,fed losing capacity deal responsibility monetary policy raising rates tightening monetary policy,V000087.json,Mr. VENTO,House,D,1995,1995-02-01
monetary_policy,monetary policy raising rates tightening monetary policy necessary mr speaker hope federal,V000087.json,Mr. VENTO,House,D,1995,1995-02-01
monetary_policy,economic recovery begun fed kept monetary policy tight order growth slow time,M000834.json,Mr. MOAKLEY,House,D,1995,1995-02-01
monetary_policy,amendments constitution morning think going monetary policy constitution fitting technicalities amendments double,F000062.json,Ms. FEINSTEIN,Senate,D,1995,1995-02-01
